class,RE,RENL,SWR,SKR,QR,CER,CS,ACF,CT,TAC,RT,RCF,TRC,RP,ExtLib,Sentiment,id
u,8.979772727272717,8.979772727272717,0.3333333333333333,0.3333333333333333,0.5,0.08333333333333333,0.10050378152592121,0,0,3488,1,2,1800,305,0.0,1,66271726-7200
u,86.55500000000002,86.55500000000002,0.41025641025641024,0.41025641025641024,0.6666666666666666,0.02564102564102564,0.4005963724010763,0,0,3488,1,5,1800,305,0.35109890380286335,0,66273573-7200
u,99.49178571428574,99.49178571428574,0.5217391304347826,0.5217391304347826,1.0,0.043478260869565216,0.2710410824318283,0,0,3488,1,10,1800,305,0.540985287597986,1,66273936-7200
u,53.655,53.655,0.35714285714285715,0.35714285714285715,0.0,0.07142857142857142,0.3202563076101743,0,0,3488,1,10,1800,305,0.540985287597986,1,66274084-7200
u,100.0,100.0,0.5714285714285714,0.5714285714285714,0.0,0.07142857142857142,0.16012815380508716,0,0,3488,1,10,1800,305,0.540985287597986,1,66288823-7200
u,50.66500000000002,50.66500000000002,0.5,0.5,0.0,0.125,0.294174202707276,0,0,7098,0,0,439,46,0.0,1,66289196-7200
u,29.00750000000002,29.00750000000002,0.35,0.35,0.3333333333333333,0.05,0.2696799449852968,0,0,3488,1,5,1800,305,0.35109890380286335,1,66289228-7200
u,95.84945652173916,95.84945652173916,0.56,0.56,0.0,0.04,0.33394720739540396,0,0,7098,0,0,439,46,0.0,1,66289342-7200
u,8.14500000000001,81.85500000000002,0.27450980392156865,0.3137254901960784,0.0,0.7647058823529411,0.5070925528371099,0,0,304,0,0,157,37,0.0,1,66289457-7200
u,86.875,86.875,0.45161290322580644,0.45161290322580644,0.0,0.03225806451612903,0.4133770167502448,0,0,3488,1,10,1800,305,0.540985287597986,1,66289703-7200
u,69.78500000000001,83.32000000000004,0.36363636363636365,0.36363636363636365,0.0,0.5454545454545454,0.5144957554275265,0,0,7098,0,0,439,46,0.0,1,66290102-7200
u,69.67500000000004,69.67500000000004,0.38461538461538464,0.38461538461538464,0.0,0.038461538461538464,0.20801257358446093,0,0,3488,1,10,1800,305,0.540985287597986,1,66290870-7200
u,84.90000000000003,84.90000000000003,0.47619047619047616,0.47619047619047616,0.0,0.047619047619047616,0.07273929674533079,0,0,3166,1,10,1426,282,0.6875692691346686,1,66343861-7200
u,63.600714285714304,63.600714285714304,0.6551724137931034,0.6551724137931034,0.0,0.034482758620689655,0.22097086912079608,0,0,441,0,0,146,34,0.6718721340279519,1,66344394-7200
